timestamp,low,high,close
2012-07-25,2561.0,2679.0,2679.0
2012-07-26,2679.0,2767.0,2737.0
2012-07-27,2708.0,2767.0,2737.0
2012-07-30,2664.0,2708.0,2664.0
2012-07-31,2649.0,2723.0,2693.0
2012-08-01,2664.0,2679.0,2664.0
2012-08-02,2590.0,2664.0,2620.0
2012-08-03,2531.0,2634.0,2590.0
2012-08-06,2561.0,2590.0,2561.0
2012-08-07,2502.0,2561.0,2502.0
2012-08-08,2443.0,2517.0,2443.0
2012-08-09,2369.0,2443.0,2428.0
2012-08-10,2414.0,2517.0,2458.0
2012-08-13,2414.0,2472.0,2443.0
2012-08-14,2414.0,2458.0,2458.0
2012-08-15,2414.0,2443.0,2443.0
2012-08-16,2399.0,2443.0,2443.0
2012-08-17,2399.0,2443.0,2443.0
2012-08-20,2399.0,2443.0,2443.0
2012-08-21,2399.0,2443.0,2443.0
2012-08-22,2399.0,2443.0,2443.0
2012-08-23,2384.0,2443.0,2428.0
2012-08-24,2428.0,2487.0,2487.0
2012-08-27,2428.0,2531.0,2502.0
2012-08-28,2443.0,2487.0,2487.0
2012-08-29,2414.0,2487.0,2458.0
2012-08-30,2428.0,2458.0,2443.0
2012-08-31,2414.0,2502.0,2443.0
2012-09-03,2428.0,2443.0,2443.0
2012-09-04,2443.0,2487.0,2443.0
2012-09-05,2414.0,2428.0,2414.0
2012-09-06,2369.0,2502.0,2472.0
2012-09-07,2458.0,2575.0,2502.0
2012-09-10,2443.0,2517.0,2443.0
2012-09-11,2428.0,2458.0,2428.0
2012-09-12,2428.0,2458.0,2428.0
2012-09-13,2414.0,2443.0,2414.0
2012-09-14,2399.0,2428.0,2399.0
2012-09-17,2384.0,2428.0,2384.0
2012-09-18,2296.0,2384.0,2311.0
2012-09-19,2311.0,2355.0,2325.0
2012-09-20,2311.0,2325.0,2325.0
2012-09-21,2296.0,2340.0,2296.0
2012-09-24,2281.0,2296.0,2281.0
2012-09-25,2222.0,2414.0,2414.0
2012-09-26,2340.0,2414.0,2414.0
2012-09-27,2369.0,2414.0,2384.0
2012-09-28,2355.0,2414.0,2414.0
2012-10-01,2355.0,2399.0,2399.0
2012-10-02,2325.0,2399.0,2325.0
2012-10-03,2325.0,2355.0,2355.0
2012-10-04,2355.0,2384.0,2355.0
2012-10-05,2325.0,2384.0,2355.0
2012-10-08,2325.0,2399.0,2340.0
2012-10-09,2355.0,2355.0,2355.0
2012-10-10,2311.0,2355.0,2340.0
2012-10-11,2325.0,2355.0,2325.0
2012-10-12,2296.0,2311.0,2296.0
2012-10-15,2311.0,2384.0,2384.0
2012-10-16,2384.0,2443.0,2414.0
2012-10-17,2428.0,2458.0,2458.0
2012-10-18,2458.0,2649.0,2649.0
2012-10-19,2605.0,2737.0,2737.0
2012-10-22,2664.0,2826.0,2826.0
2012-10-23,2708.0,2826.0,2752.0
2012-10-24,2679.0,2767.0,2752.0
2012-10-25,2664.0,2752.0,2679.0
2012-10-26,2664.0,2752.0,2679.0
2012-10-29,2620.0,2752.0,2752.0
2012-10-30,2679.0,2752.0,2708.0
2012-10-31,2502.0,2679.0,2575.0
2012-11-01,2502.0,2575.0,2531.0
2012-11-02,2458.0,2561.0,2458.0
2012-11-05,2458.0,2502.0,2458.0
2012-11-06,2443.0,2458.0,2443.0
2012-11-07,2414.0,2472.0,2472.0
2012-11-08,2399.0,2443.0,2399.0
2012-11-09,2384.0,2414.0,2384.0
2012-11-12,2384.0,2384.0,2384.0
2012-11-13,2399.0,2443.0,2443.0
2012-11-14,2428.0,2531.0,2472.0
2012-11-15,2428.0,2531.0,2472.0
2012-11-16,2428.0,2531.0,2472.0
2012-11-19,2458.0,2487.0,2458.0
2012-11-20,2399.0,2458.0,2399.0
2012-11-21,2399.0,2443.0,2414.0
2012-11-22,2414.0,2428.0,2414.0
2012-11-23,2399.0,2443.0,2399.0
2012-11-26,2399.0,2443.0,2399.0
2012-11-27,2384.0,2472.0,2472.0
2012-11-28,2384.0,2443.0,2443.0
2012-11-29,2443.0,2487.0,2458.0
2012-11-30,2384.0,2443.0,2384.0
2012-12-03,2325.0,2414.0,2325.0
2012-12-04,2281.0,2325.0,2296.0
2012-12-05,2252.0,2369.0,2369.0
2012-12-06,2266.0,2384.0,2266.0
2012-12-07,2281.0,2325.0,2281.0
2012-12-10,2296.0,2296.0,2296.0
2012-12-11,2281.0,2399.0,2399.0
2012-12-12,2325.0,2384.0,2355.0
2012-12-13,2296.0,2355.0,2340.0
2012-12-14,2355.0,2355.0,2355.0
2012-12-17,2296.0,2384.0,2384.0
2012-12-18,2340.0,2384.0,2340.0
2012-12-19,2296.0,2369.0,2369.0
2012-12-20,2296.0,2355.0,2296.0
2012-12-21,2266.0,2355.0,2355.0
2012-12-24,2266.0,2355.0,2355.0
2012-12-25,2266.0,2355.0,2355.0
2012-12-26,2311.0,2355.0,2355.0
2012-12-27,2325.0,2487.0,2472.0
2012-12-28,2472.0,2472.0,2472.0
2012-12-31,2472.0,2472.0,2472.0
2013-01-01,2472.0,2472.0,2472.0
2013-01-02,2472.0,2472.0,2472.0
2013-01-03,2472.0,2472.0,2472.0
2013-01-04,2472.0,2472.0,2472.0
2013-01-07,2472.0,2472.0,2472.0
2013-01-08,2472.0,2472.0,2472.0
2013-01-09,2472.0,2472.0,2472.0
2013-01-10,2472.0,2472.0,2472.0
2013-01-11,2472.0,2472.0,2472.0
2013-01-14,2472.0,2472.0,2472.0
2013-01-15,2472.0,2472.0,2472.0
2013-01-16,2472.0,2472.0,2472.0
2013-01-17,2472.0,2472.0,2472.0
2013-01-18,2472.0,2472.0,2472.0
2013-01-21,2472.0,2472.0,2472.0
2013-01-22,2472.0,2472.0,2472.0
2013-01-23,2472.0,2472.0,2472.0
2013-01-24,2472.0,2472.0,2472.0
2013-01-25,2472.0,2472.0,2472.0
2013-01-28,2472.0,2472.0,2472.0
2013-01-29,2472.0,2472.0,2472.0
2013-01-30,2472.0,2472.0,2472.0
2013-01-31,2472.0,2472.0,2472.0
2013-02-01,2472.0,2472.0,2472.0
2013-02-04,2472.0,2472.0,2472.0
2013-02-05,2472.0,2472.0,2472.0
2013-02-06,2472.0,2472.0,2472.0
2013-02-07,2472.0,2472.0,2472.0
2013-02-08,2472.0,2472.0,2472.0
2013-02-11,2472.0,2472.0,2472.0
2013-02-12,2472.0,2472.0,2472.0
2013-02-13,2472.0,2472.0,2472.0
2013-02-14,2472.0,2472.0,2472.0
2013-02-15,2472.0,2472.0,2472.0
2013-02-18,2472.0,2472.0,2472.0
2013-02-19,2472.0,2472.0,2472.0
2013-02-20,2472.0,2472.0,2472.0
2013-02-21,2472.0,2472.0,2472.0
2013-02-22,2472.0,2472.0,2472.0
2013-02-25,2472.0,2472.0,2472.0
2013-02-26,2472.0,2472.0,2472.0
2013-02-27,2472.0,2472.0,2472.0
2013-02-28,2472.0,2472.0,2472.0
2013-03-01,2472.0,2472.0,2472.0
2013-03-04,2472.0,2472.0,2472.0
2013-03-05,2472.0,2472.0,2472.0
2013-03-06,2472.0,2472.0,2472.0
2013-03-07,2472.0,2472.0,2472.0
2013-03-08,2472.0,2472.0,2472.0
2013-03-11,2472.0,2472.0,2472.0
2013-03-12,2472.0,2472.0,2472.0
2013-03-13,2472.0,2472.0,2472.0
2013-03-14,2472.0,2472.0,2472.0
2013-03-15,2472.0,2472.0,2472.0
2013-03-18,2472.0,2472.0,2472.0
2013-03-19,2472.0,2472.0,2472.0
2013-03-20,2472.0,2472.0,2472.0
2013-03-21,2472.0,2472.0,2472.0
2013-03-22,2472.0,2472.0,2472.0
2013-03-25,2472.0,2472.0,2472.0
2013-03-26,2472.0,2472.0,2472.0
2013-03-27,2472.0,2472.0,2472.0
2013-03-28,2472.0,2472.0,2472.0
2013-03-29,2472.0,2472.0,2472.0
2013-04-01,2472.0,2472.0,2472.0
2013-04-02,2472.0,2472.0,2472.0
2013-04-03,2472.0,2472.0,2472.0
2013-04-04,2472.0,2472.0,2472.0
2013-04-05,2472.0,2472.0,2472.0
2013-04-08,2472.0,2472.0,2472.0
2013-04-09,2472.0,2472.0,2472.0
2013-04-10,2472.0,2472.0,2472.0
2013-04-11,2472.0,2472.0,2472.0
2013-04-12,2472.0,2472.0,2472.0
2013-04-15,2472.0,2472.0,2472.0
2013-04-16,2472.0,2472.0,2472.0
2013-04-17,2472.0,2472.0,2472.0
2013-04-18,2472.0,2472.0,2472.0
2013-04-19,2472.0,2472.0,2472.0
2013-04-22,2472.0,2472.0,2472.0
2013-04-23,2472.0,2472.0,2472.0
2013-04-24,2472.0,2472.0,2472.0
2013-04-25,2472.0,2472.0,2472.0
2013-04-26,2472.0,2472.0,2472.0
2013-04-29,2472.0,2472.0,2472.0
2013-04-30,2472.0,2472.0,2472.0
2013-05-01,2472.0,2472.0,2472.0
2013-05-02,2472.0,2472.0,2472.0
2013-05-03,2472.0,2472.0,2472.0
2013-05-06,2472.0,2472.0,2472.0
2013-05-07,2472.0,2472.0,2472.0
2013-05-08,2472.0,2472.0,2472.0
2013-05-09,2472.0,2472.0,2472.0
2013-05-10,2472.0,2472.0,2472.0
2013-05-13,2472.0,2472.0,2472.0
2013-05-14,2472.0,2472.0,2472.0
2013-05-15,2472.0,2472.0,2472.0
2013-05-16,2472.0,2472.0,2472.0
2013-05-17,2472.0,2472.0,2472.0
2013-05-20,2472.0,2472.0,2472.0
2013-05-21,2472.0,2472.0,2472.0
2013-05-22,2472.0,2472.0,2472.0
2013-05-23,2472.0,2472.0,2472.0
2013-05-24,2472.0,2472.0,2472.0
2013-05-27,2472.0,2472.0,2472.0
2013-05-28,2472.0,2472.0,2472.0
2013-05-29,2472.0,2472.0,2472.0
2013-05-30,2472.0,2472.0,2472.0
2013-05-31,2472.0,2472.0,2472.0
2013-06-03,2472.0,2472.0,2472.0
2013-06-04,2472.0,2472.0,2472.0
2013-06-05,2472.0,2472.0,2472.0
2013-06-06,2472.0,2472.0,2472.0
2013-06-07,2472.0,2472.0,2472.0
2013-06-10,2472.0,2472.0,2472.0
2013-06-11,2472.0,2472.0,2472.0
2013-06-12,2472.0,2472.0,2472.0
2013-06-13,2472.0,2472.0,2472.0
2013-06-14,2472.0,2472.0,2472.0
2013-06-17,2472.0,2472.0,2472.0
2013-06-18,2472.0,2472.0,2472.0
2013-06-19,2472.0,2472.0,2472.0
2013-06-20,2472.0,2472.0,2472.0
2013-06-21,2472.0,2472.0,2472.0
2013-06-24,2472.0,2472.0,2472.0
2013-06-25,2472.0,2472.0,2472.0
2013-06-26,2472.0,2472.0,2472.0
2013-06-27,2472.0,2472.0,2472.0
2013-06-28,2472.0,2472.0,2472.0
2013-07-01,3360.0,3360.0,3360.0
2013-07-02,3360.0,3360.0,3360.0
2013-07-03,3360.0,3360.0,3360.0
2013-07-04,3360.0,3360.0,3360.0
2013-07-05,3360.0,3360.0,3360.0
2013-07-08,3360.0,3360.0,3360.0
2013-07-09,3360.0,3360.0,3360.0
2013-07-10,3360.0,3360.0,3360.0
2013-07-11,3360.0,3360.0,3360.0
2013-07-12,3360.0,3360.0,3360.0
2013-07-15,3360.0,3360.0,3360.0
2013-07-16,3360.0,3360.0,3360.0
2013-07-17,3360.0,3360.0,3360.0
2013-07-18,3360.0,3360.0,3360.0
2013-07-19,3360.0,3360.0,3360.0
2013-07-22,3360.0,3360.0,3360.0
2013-07-23,3360.0,3360.0,3360.0
2013-07-24,3360.0,3360.0,3360.0
2013-07-25,3360.0,3360.0,3360.0
2013-07-26,3360.0,3360.0,3360.0
2013-07-29,3360.0,3360.0,3360.0
2013-07-30,3360.0,3360.0,3360.0
2013-07-31,3360.0,3360.0,3360.0
2013-08-01,3360.0,3360.0,3360.0
2013-08-02,3360.0,3360.0,3360.0
2013-08-05,3360.0,3360.0,3360.0
2013-08-06,3360.0,3360.0,3360.0
2013-08-07,3360.0,3360.0,3360.0
2013-08-08,3360.0,3360.0,3360.0
2013-08-09,3360.0,3360.0,3360.0
2013-08-12,3360.0,3360.0,3360.0
2013-08-13,3360.0,3360.0,3360.0
2013-08-14,3360.0,3360.0,3360.0
2013-08-15,3360.0,3360.0,3360.0
2013-08-16,3360.0,3360.0,3360.0
2013-08-19,3360.0,3360.0,3360.0
2013-08-20,3360.0,3360.0,3360.0
2013-08-21,3360.0,3360.0,3360.0
2013-08-22,3360.0,3360.0,3360.0
2013-08-23,3360.0,3360.0,3360.0
2013-08-26,3360.0,3360.0,3360.0
2013-08-27,3360.0,3360.0,3360.0
2013-08-28,3360.0,3360.0,3360.0
2013-08-29,3360.0,3360.0,3360.0
2013-08-30,3360.0,3360.0,3360.0
2013-09-02,3360.0,3360.0,3360.0
2013-09-03,3360.0,3360.0,3360.0
2013-09-04,3360.0,3360.0,3360.0
2013-09-05,3360.0,3360.0,3360.0
2013-09-06,3360.0,3360.0,3360.0
2013-09-09,3360.0,3360.0,3360.0
2013-09-10,3360.0,3360.0,3360.0
2013-09-11,3360.0,3360.0,3360.0
2013-09-12,3360.0,3360.0,3360.0
2013-09-13,3360.0,3360.0,3360.0
2013-09-16,3360.0,3360.0,3360.0
2013-09-17,3360.0,3360.0,3360.0
2013-09-18,3360.0,3360.0,3360.0
2013-09-19,3360.0,3360.0,3360.0
2013-09-20,3360.0,3360.0,3360.0
2013-09-23,3360.0,3360.0,3360.0
2013-09-24,3360.0,3360.0,3360.0
2013-09-25,3360.0,3360.0,3360.0
2013-09-26,3360.0,3360.0,3360.0
2013-09-27,3360.0,3360.0,3360.0
2013-09-30,3360.0,3360.0,3360.0
2013-10-01,3360.0,3360.0,3360.0
2013-10-02,3360.0,3360.0,3360.0
2013-10-03,3360.0,3360.0,3360.0
2013-10-04,3360.0,3360.0,3360.0
2013-10-07,3360.0,3360.0,3360.0
2013-10-08,3360.0,3360.0,3360.0
2013-10-09,3360.0,3360.0,3360.0
2013-10-10,3360.0,3360.0,3360.0
2013-10-11,3360.0,3360.0,3360.0
2013-10-14,3360.0,3360.0,3360.0
2013-10-15,3360.0,3360.0,3360.0
2013-10-16,3360.0,3360.0,3360.0
2013-10-17,3360.0,3360.0,3360.0
2013-10-18,3360.0,3360.0,3360.0
2013-10-21,3360.0,3360.0,3360.0
2013-10-22,3360.0,3360.0,3360.0
2013-10-23,3360.0,3360.0,3360.0
2013-10-24,3360.0,3360.0,3360.0
2013-10-25,3360.0,3360.0,3360.0
2013-10-28,3360.0,3360.0,3360.0
2013-10-29,3360.0,3360.0,3360.0
2013-10-30,3360.0,3360.0,3360.0
2013-10-31,3360.0,3360.0,3360.0
2013-11-01,3360.0,3360.0,3360.0
2013-11-04,3360.0,3360.0,3360.0
2013-11-05,3360.0,3360.0,3360.0
2013-11-06,3360.0,3360.0,3360.0
2013-11-07,3360.0,3360.0,3360.0
2013-11-08,3360.0,3360.0,3360.0
2013-11-11,3360.0,3360.0,3360.0
2013-11-12,3360.0,3360.0,3360.0
2013-11-13,3360.0,3360.0,3360.0
2013-11-14,3360.0,3360.0,3360.0
2013-11-15,3360.0,3360.0,3360.0
2013-11-18,3360.0,3360.0,3360.0
2013-11-19,3360.0,3360.0,3360.0
2013-11-20,3360.0,3360.0,3360.0
2013-11-21,3360.0,3360.0,3360.0
2013-11-22,3360.0,3360.0,3360.0
2013-11-25,3360.0,3360.0,3360.0
2013-11-26,3360.0,3360.0,3360.0
2013-11-27,3360.0,3360.0,3360.0
2013-11-28,3360.0,3360.0,3360.0
2013-11-29,3360.0,3360.0,3360.0
2013-12-02,3360.0,3360.0,3360.0
2013-12-03,3360.0,3360.0,3360.0
2013-12-04,3360.0,3360.0,3360.0
2013-12-05,3360.0,3360.0,3360.0
2013-12-06,3360.0,3360.0,3360.0
2013-12-09,3360.0,3360.0,3360.0
2013-12-10,3360.0,3360.0,3360.0
2013-12-11,3360.0,3360.0,3360.0
2013-12-12,3360.0,3360.0,3360.0
2013-12-13,3360.0,3360.0,3360.0
2013-12-16,3360.0,3360.0,3360.0
2013-12-17,3360.0,3360.0,3360.0
2013-12-18,3360.0,3360.0,3360.0
2013-12-19,3360.0,3360.0,3360.0
2013-12-20,3360.0,3360.0,3360.0
2013-12-23,3360.0,3360.0,3360.0
2013-12-24,3360.0,3360.0,3360.0
2013-12-25,3360.0,3360.0,3360.0
2013-12-26,3360.0,3360.0,3360.0
2013-12-27,3360.0,3360.0,3360.0
2013-12-30,3360.0,3360.0,3360.0
2013-12-31,3360.0,3360.0,3360.0
2014-01-01,3360.0,3360.0,3360.0
2014-01-02,3360.0,3360.0,3360.0
2014-01-03,3360.0,3360.0,3360.0
2014-01-06,3360.0,3360.0,3360.0
2014-01-07,3360.0,3360.0,3360.0
2014-01-08,3360.0,3360.0,3360.0
2014-01-09,3360.0,3360.0,3360.0
2014-01-10,3360.0,3360.0,3360.0
2014-01-13,3360.0,3360.0,3360.0
2014-01-14,3360.0,3360.0,3360.0
2014-01-15,3360.0,3360.0,3360.0
2014-01-16,3360.0,3360.0,3360.0
2014-01-17,3360.0,3360.0,3360.0
2014-01-20,3360.0,3360.0,3360.0
2014-01-21,3360.0,3360.0,3360.0
2014-01-22,3360.0,3360.0,3360.0
2014-01-23,3360.0,3360.0,3360.0
2014-01-24,3360.0,3360.0,3360.0
2014-01-27,3360.0,3360.0,3360.0
2014-01-28,3360.0,3360.0,3360.0
2014-01-29,3360.0,3360.0,3360.0
2014-01-30,3360.0,3360.0,3360.0
2014-01-31,3360.0,3360.0,3360.0
2014-02-03,3360.0,3360.0,3360.0
2014-02-04,3360.0,3360.0,3360.0
2014-02-05,3360.0,3360.0,3360.0
2014-02-06,3360.0,3360.0,3360.0
2014-02-07,3360.0,3360.0,3360.0
2014-02-10,3360.0,3360.0,3360.0
2014-02-11,3360.0,3360.0,3360.0
2014-02-12,3360.0,3360.0,3360.0
2014-02-13,3360.0,3360.0,3360.0
2014-02-14,3360.0,3360.0,3360.0
2014-02-17,3360.0,3360.0,3360.0
2014-02-18,3360.0,3360.0,3360.0
2014-02-19,3360.0,3360.0,3360.0
2014-02-20,3360.0,3360.0,3360.0
2014-02-21,3360.0,3360.0,3360.0
2014-02-24,3360.0,3360.0,3360.0
2014-02-25,3360.0,3360.0,3360.0
2014-02-26,3360.0,3360.0,3360.0
2014-02-27,3360.0,3360.0,3360.0
2014-02-28,3360.0,3360.0,3360.0
2014-03-03,3360.0,3360.0,3360.0
2014-03-04,3360.0,3360.0,3360.0
2014-03-05,3360.0,3360.0,3360.0
2014-03-06,3360.0,3360.0,3360.0
2014-03-07,3360.0,3360.0,3360.0
2014-03-10,3360.0,3360.0,3360.0
2014-03-11,3360.0,3360.0,3360.0
2014-03-12,3360.0,3360.0,3360.0
2014-03-13,3360.0,3360.0,3360.0
2014-03-14,3360.0,3360.0,3360.0
2014-03-17,3360.0,3360.0,3360.0
2014-03-18,3360.0,3360.0,3360.0
2014-03-19,3360.0,3360.0,3360.0
2014-03-20,3360.0,3360.0,3360.0
2014-03-21,3360.0,3360.0,3360.0
2014-03-24,3360.0,3360.0,3360.0
2014-03-25,3360.0,3360.0,3360.0
2014-03-26,3360.0,3360.0,3360.0
2014-03-27,3360.0,3360.0,3360.0
2014-03-28,3360.0,3360.0,3360.0
2014-03-31,3360.0,3360.0,3360.0
2014-04-01,3360.0,3360.0,3360.0
2014-04-02,3360.0,3360.0,3360.0
2014-04-03,3360.0,3360.0,3360.0
2014-04-04,3360.0,3360.0,3360.0
2014-04-07,3360.0,3360.0,3360.0
2014-04-08,3360.0,3360.0,3360.0
2014-04-09,3360.0,3360.0,3360.0
2014-04-10,3360.0,3360.0,3360.0
2014-04-11,3360.0,3360.0,3360.0
2014-04-14,3360.0,3360.0,3360.0
2014-04-15,3360.0,3360.0,3360.0
2014-04-16,3360.0,3360.0,3360.0
2014-04-17,3360.0,3360.0,3360.0
2014-04-18,3360.0,3360.0,3360.0
2014-04-21,3360.0,3360.0,3360.0
2014-04-22,3360.0,3360.0,3360.0
2014-04-23,3360.0,3360.0,3360.0
2014-04-24,3360.0,3360.0,3360.0
2014-04-25,3360.0,3360.0,3360.0
2014-04-28,3360.0,3360.0,3360.0
2014-04-29,3360.0,3360.0,3360.0
2014-04-30,3360.0,3360.0,3360.0
2014-05-01,3360.0,3360.0,3360.0
2014-05-02,3360.0,3360.0,3360.0
2014-05-05,3360.0,3360.0,3360.0
2014-05-06,3360.0,3360.0,3360.0
2014-05-07,3360.0,3360.0,3360.0
2014-05-08,3360.0,3360.0,3360.0
2014-05-09,3360.0,3360.0,3360.0
2014-05-12,3360.0,3360.0,3360.0
2014-05-13,3360.0,3360.0,3360.0
2014-05-14,3360.0,3360.0,3360.0
2014-05-15,3360.0,3360.0,3360.0
2014-05-16,3360.0,3360.0,3360.0
2014-05-19,3360.0,3360.0,3360.0
2014-05-20,3360.0,3360.0,3360.0
2014-05-21,3360.0,3360.0,3360.0
2014-05-22,3360.0,3360.0,3360.0
2014-05-23,3360.0,3360.0,3360.0
2014-05-26,3360.0,3360.0,3360.0
2014-05-27,3360.0,3360.0,3360.0
2014-05-28,3360.0,3360.0,3360.0
2014-05-29,3360.0,3360.0,3360.0
2014-05-30,3360.0,3360.0,3360.0
2014-06-02,3360.0,3360.0,3360.0
2014-06-03,3360.0,3360.0,3360.0
2014-06-04,3360.0,3360.0,3360.0
2014-06-05,3360.0,3360.0,3360.0
2014-06-06,3360.0,3360.0,3360.0
2014-06-09,3360.0,3360.0,3360.0
2014-06-10,3360.0,3360.0,3360.0
2014-06-11,3360.0,3360.0,3360.0
2014-06-12,3360.0,3360.0,3360.0
2014-06-13,3360.0,3360.0,3360.0
2014-06-16,3360.0,3360.0,3360.0
2014-06-17,3360.0,3360.0,3360.0
2014-06-18,3360.0,3360.0,3360.0
2014-06-19,3360.0,3360.0,3360.0
2014-06-20,3360.0,3360.0,3360.0
2014-06-23,3360.0,3360.0,3360.0
2014-06-24,3360.0,3360.0,3360.0
2014-06-25,3360.0,3360.0,3360.0
2014-06-26,3360.0,3360.0,3360.0
2014-06-27,3360.0,3360.0,3360.0
2014-06-30,3360.0,3360.0,3360.0
2014-07-01,3360.0,3360.0,3360.0
2014-07-02,3360.0,3360.0,3360.0
2014-07-03,3360.0,3360.0,3360.0
2014-07-04,3360.0,3360.0,3360.0
2014-07-07,3360.0,3360.0,3360.0
2014-07-08,3360.0,3360.0,3360.0
2014-07-09,3360.0,3360.0,3360.0
2014-07-10,3360.0,3360.0,3360.0
2014-07-11,3360.0,3360.0,3360.0
2014-07-14,3360.0,3360.0,3360.0
2014-07-15,3360.0,3360.0,3360.0
2014-07-16,3360.0,3360.0,3360.0
2014-07-17,3360.0,3360.0,3360.0
2014-07-18,3360.0,3360.0,3360.0
2014-07-21,3360.0,3360.0,3360.0
2014-07-22,3360.0,3360.0,3360.0
2014-07-23,3360.0,3360.0,3360.0
2014-07-24,3360.0,3360.0,3360.0
2014-07-25,3360.0,3360.0,3360.0
2014-07-28,3360.0,3360.0,3360.0
2014-07-29,3360.0,3360.0,3360.0
2014-07-30,3360.0,3360.0,3360.0
2014-07-31,3360.0,3360.0,3360.0
2014-08-01,3360.0,3360.0,3360.0
2014-08-04,3360.0,3360.0,3360.0
2014-08-05,3360.0,3360.0,3360.0
2014-08-06,3360.0,3360.0,3360.0
2014-08-07,3360.0,3360.0,3360.0
2014-08-08,3360.0,3360.0,3360.0
2014-08-11,3360.0,3360.0,3360.0
2014-08-12,3360.0,3360.0,3360.0
2014-08-13,3360.0,3360.0,3360.0
2014-08-14,3360.0,3360.0,3360.0
2014-08-15,3360.0,3360.0,3360.0
2014-08-18,3360.0,3360.0,3360.0
2014-08-19,3360.0,3360.0,3360.0
2014-08-20,3360.0,3360.0,3360.0
2014-08-21,3360.0,3360.0,3360.0
2014-08-22,3360.0,3360.0,3360.0
2014-08-25,3360.0,3360.0,3360.0
2014-08-26,3360.0,3360.0,3360.0
2014-08-27,3360.0,3360.0,3360.0
2014-08-28,3360.0,3360.0,3360.0
2014-08-29,3360.0,3360.0,3360.0
2014-09-01,3360.0,3360.0,3360.0
2014-09-02,3360.0,3360.0,3360.0
2014-09-03,3360.0,3360.0,3360.0
2014-09-04,3360.0,3360.0,3360.0
2014-09-05,3360.0,3360.0,3360.0
2014-09-08,3360.0,3360.0,3360.0
2014-09-09,3360.0,3360.0,3360.0
2014-09-10,3360.0,3360.0,3360.0
2014-09-11,3360.0,3360.0,3360.0
2014-09-12,3360.0,3360.0,3360.0
2014-09-15,3360.0,3360.0,3360.0
2014-09-16,3360.0,3360.0,3360.0
2014-09-17,3360.0,3360.0,3360.0
2014-09-18,3360.0,3360.0,3360.0
2014-09-19,3360.0,3360.0,3360.0
2014-09-22,3360.0,3360.0,3360.0
2014-09-23,3360.0,3360.0,3360.0
2014-09-24,3360.0,3360.0,3360.0
2014-09-25,3360.0,3360.0,3360.0
2014-09-26,3360.0,3360.0,3360.0
2014-09-29,3360.0,3360.0,3360.0
2014-09-30,3360.0,3360.0,3360.0
2014-10-01,3360.0,3360.0,3360.0
2014-10-02,3360.0,3360.0,3360.0
2014-10-03,3360.0,3360.0,3360.0
2014-10-06,3360.0,3360.0,3360.0
2014-10-07,3360.0,3360.0,3360.0
2014-10-08,3360.0,3360.0,3360.0
2014-10-09,3360.0,3360.0,3360.0
2014-10-10,3360.0,3360.0,3360.0
2014-10-13,3360.0,3360.0,3360.0
2014-10-14,3360.0,3360.0,3360.0
2014-10-15,3360.0,3360.0,3360.0
2014-10-16,3360.0,3360.0,3360.0
2014-10-17,3360.0,3360.0,3360.0
2014-10-20,3360.0,3360.0,3360.0
2014-10-21,3360.0,3360.0,3360.0
2014-10-22,3360.0,3360.0,3360.0
2014-10-23,3360.0,3360.0,3360.0
2014-10-24,3360.0,3360.0,3360.0
2014-10-27,3360.0,3360.0,3360.0
2014-10-28,3360.0,3360.0,3360.0
2014-10-29,3360.0,3360.0,3360.0
2014-10-30,3360.0,3360.0,3360.0
2014-10-31,3360.0,3360.0,3360.0
2014-11-03,3360.0,3360.0,3360.0
2014-11-04,3360.0,3360.0,3360.0
2014-11-05,3360.0,3360.0,3360.0
2014-11-06,3360.0,3360.0,3360.0
2014-11-07,3360.0,3360.0,3360.0
2014-11-10,3360.0,3360.0,3360.0
2014-11-11,3360.0,3360.0,3360.0
2014-11-12,3360.0,3360.0,3360.0
2014-11-13,3360.0,3360.0,3360.0
2014-11-14,3360.0,3360.0,3360.0
2014-11-17,3360.0,3360.0,3360.0
2014-11-18,3360.0,3360.0,3360.0
2014-11-19,3360.0,3360.0,3360.0
2014-11-20,3360.0,3360.0,3360.0
2014-11-21,3360.0,3360.0,3360.0
2014-11-24,3360.0,3360.0,3360.0
2014-11-25,3360.0,3360.0,3360.0
2014-11-26,3360.0,3360.0,3360.0
2014-11-27,3360.0,3360.0,3360.0
2014-11-28,3360.0,3360.0,3360.0
2014-12-01,3360.0,3360.0,3360.0
2014-12-02,3360.0,3360.0,3360.0
2014-12-03,3360.0,3360.0,3360.0
2014-12-04,3360.0,3360.0,3360.0
2014-12-05,3360.0,3360.0,3360.0
2014-12-08,3360.0,3360.0,3360.0
2014-12-09,3360.0,3360.0,3360.0
2014-12-10,3360.0,3360.0,3360.0
2014-12-11,3360.0,3360.0,3360.0
2014-12-12,3360.0,3360.0,3360.0
2014-12-15,3360.0,3360.0,3360.0
2014-12-16,3360.0,3360.0,3360.0
2014-12-17,3360.0,3360.0,3360.0
2014-12-18,3360.0,3360.0,3360.0
2014-12-19,3360.0,3360.0,3360.0
2014-12-22,3360.0,3360.0,3360.0
2014-12-23,3360.0,3360.0,3360.0
2014-12-24,3360.0,3360.0,3360.0
2014-12-25,3360.0,3360.0,3360.0
2014-12-26,3360.0,3360.0,3360.0
2014-12-29,3360.0,3360.0,3360.0
2014-12-30,3360.0,3360.0,3360.0
